Year,Number_of_Gold_Medals,Number_of_Silver_Medals,Number_of_Bronze_Medals,Total_medals,Number_of_male_athletes,Number_of_female_athletes,Total_number_of_athletes,Total_number_of_sports
1924,1,2,1,4,22,2,24,6
1928,2,2,2,6,21,3,24,7
1932,6,4,2,12,58,6,64,7
1936,1,0,3,4,46,9,55,8
1948,3,4,2,9,59,10,69,9
1952,4,6,1,11,55,10,65,9
1956,2,3,2,7,57,10,67,8
1960,3,4,3,10,61,18,79,8
1964,1,2,4,7,71,18,89,10
1968,1,5,1,7,75,21,106,10
1972,3,2,3,8,77,26,103,10
1976,3,3,4,10,76,30,106,10
1980,6,4,2,12,76,25,101,10
1984,4,4,0,8,77,30,107,10
1988,2,1,3,6,86,32,118,10
1992,5,4,2,11,97,50,147,12
1994,6,5,2,13,95,52,147,12
1998,6,3,4,13,105,81,186,14
2002,10,13,11,34,115,87,202,15
2006,9,9,7,25,117,87,204,15
2010,9,15,13,37,120,92,212,15
2014,9,9,10,28,122,100,222,15
2018,9,8,6,23,134,107,241,15
